StationId	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Ann
USC00010008	2.76	3.83	3.04	3.91	4.34	3.81	3.64	3.66	4.24	4.25	3.58	3.51	3.71
USC00010063	3.5	3.9	3.25	3.99	4.84	4.27	3.69	3.82	4.49	4.69	4.01	3.58	4.0
USC00010140	2.64	4.33	3.18	4.25	4.63	4.2	3.61	3.65	4.11	4.31	3.75	3.34	3.83
USC00010252	3.16	3.94	3.09	4.07	4.4	3.95	3.51	3.39	3.93	4.05	3.72	3.27	3.71
USC00010369	2.86	3.92	2.99	4.11	4.6	4.14	3.72	3.86	4.49	4.49	3.73	3.62	3.89
USC00010390	3.51	3.92	3.25	4.03	4.87	4.33	3.79	3.94	4.56	4.78	4.07	3.58	4.05
USC00010402	3.16	3.94	3.07	4.07	4.39	3.95	3.47	3.37	3.92	4.03	3.72	3.29	3.71
USC00010425	2.81	3.87	3.01	4.05	4.53	4.04	3.69	3.79	4.4	4.41	3.67	3.57	3.82
USC00010748	3.48	3.86	3.23	3.94	4.81	4.17	3.61	3.69	4.35	4.58	3.96	3.56	3.94
USC00010957	3.45	3.86	3.27	4.03	4.81	4.25	3.69	3.82	4.45	4.74	4.0	3.52	4.0
USC00011099	3.48	3.89	3.29	4.08	4.86	4.29	3.77	3.93	4.52	4.83	4.07	3.55	4.05
USC00012124	2.83	3.89	3.01	4.05	4.53	4.04	3.69	3.78	4.39	4.4	3.68	3.58	3.82
USC00012172	2.88	3.28	3.14	3.65	3.94	3.52	3.19	3.15	3.76	3.97	3.73	3.18	3.46
USC00012377	2.74	3.79	3.06	3.82	4.22	3.66	3.59	3.58	4.12	4.18	3.52	3.46	3.65
USC00012675	2.65	4.04	3.27	4.03	4.42	3.76	3.45	3.41	3.89	4.14	3.69	3.59	3.69
USC00013043	2.93	4.0	2.9	4.18	4.68	4.22	3.81	3.99	4.56	4.62	3.82	3.73	3.96
USC00013519	3.16	3.82	3.29	3.9	4.38	4.01	3.61	3.49	4.04	4.25	3.61	3.0	3.71
USC00013620	3.66	3.79	3.18	3.72	4.63	3.89	3.81	3.83	4.34	4.5	4.19	3.93	3.96
USC00013645	3.66	3.79	3.18	3.72	4.63	3.89	3.81	3.83	4.34	4.5	4.19	3.93	3.96
USC00014193	3.39	3.69	3.13	4.0	4.29	3.83	3.55	3.34	4.19	4.42	3.83	3.46	3.76
USC00014209	2.9	3.96	2.95	4.16	4.66	4.2	3.76	3.93	4.53	4.56	3.76	3.67	3.92
USC00015397	2.79	3.85	3.02	3.98	4.45	3.92	3.67	3.72	4.32	4.33	3.62	3.54	3.76
USC00015553	2.59	4.27	3.18	4.26	4.65	4.21	3.64	3.64	4.14	4.35	3.76	3.3	3.83
USC00018178	3.39	3.69	3.13	4.0	4.29	3.83	3.55	3.34	4.19	4.42	3.83	3.46	3.76
USC00018209	2.83	4.22	3.23	4.3	4.81	4.14	3.61	3.68	4.23	4.45	3.92	3.73	3.92
USC00018385	2.92	4.33	3.18	4.28	4.83	4.11	3.54	3.66	4.23	4.49	3.94	3.8	3.94
USC00018517	3.13	3.8	2.69	4.08	4.6	4.04	3.55	3.58	4.15	4.12	4.0	3.27	3.74
USC00018670	2.94	4.31	3.2	4.37	4.94	4.26	3.7	3.85	4.42	4.63	4.0	3.8	4.03
USC00018673	2.88	4.3	3.21	4.27	4.76	4.06	3.53	3.62	4.16	4.41	3.9	3.77	3.91
USC00020080	4.11	3.75	3.33	3.53	3.75	3.71	3.72	3.86	4.7	4.8	4.46	4.25	4.0
USC00020487	4.4	3.81	3.35	3.76	3.99	4.41	4.35	4.34	5.02	5.12	4.35	4.39	4.27
USC00020808	3.68	3.01	2.88	3.79	4.27	4.32	3.74	3.71	4.57	5.04	4.26	3.86	3.92
USC00021574	4.21	3.15	2.81	3.66	4.13	4.53	3.98	3.93	4.81	5.22	4.27	4.14	4.07
